Title,Release Year,Rating,Genre,Streaming Platform,Runtime,Age Rating,Country,Content Category,URL
Snatch  (2000),2000,8.2,"Crime, Comedy","Apple TV, Netflix, Zee5, Sony Liv, Amazon Video, Apple TV, Apple TV",1h 43min,UA,"United Kingdom, United States",Movie,https://www.justwatch.com/in/movie/snatch
Mission: Chapter 1  (2024),2024,6.5,"Action & Adventure, Mystery & Thriller",Amazon Prime Video,2h 24min,NaN,India,Movie,https://www.justwatch.com/in/movie/mission-chapter-1
Leo  (2023),2023,7.2,"Crime, Mystery & Thriller, Action & Adventure, Drama",Netflix,2h 43min,UA,India,Movie,https://www.justwatch.com/in/movie/leo-2023
Hi Nanna  (2023),2023,8.2,"Kids & Family, Romance, Drama",Netflix,2h 35min,U,India,Movie,https://www.justwatch.com/in/movie/nani30
The Marvels  (2023),2023,NaN,"Science-Fiction, Action & Adventure","Apple TV, Bookmyshow, Apple TV, Amazon Video, Google Play Movies, YouTube, Apple TV, Google Play Movies, YouTube",1h 45min,NaN,United States,Movie,https://www.justwatch.com/in/movie/the-marvels
Spaceman  (2024),2024,5.7,"Drama, Science-Fiction, Action & Adventure",Netflix,1h 47min,NaN,"Czech Republic, United States",Movie,https://www.justwatch.com/in/movie/spaceman-2022
Mission: Impossible - Dead Reckoning Part One  (2023),2023,7.7,"Mystery & Thriller, Action & Adventure","Apple TV, Amazon Prime Video, Amazon Video, Apple TV, Google Play Movies, YouTube, Google Play Movies, YouTube, Apple TV",2h 44min,NaN,United States,Movie,https://www.justwatch.com/in/movie/mission-impossible-7
Main Atal Hoon  (2024),2024,7.2,Drama,,2h 19min,UA,India,Movie,https://www.justwatch.com/in/movie/main-atal-hoon
Interstellar  (2014),2014,8.7,"Science-Fiction, Action & Adventure, Drama","Apple TV, Netflix, Amazon Prime Video, Jio Cinema, Amazon Video, Apple TV, Google Play Movies, YouTube, Tata Play, Apple TV, Google Play Movies, YouTube",2h 49min,NaN,"United Kingdom, United States",Movie,https://www.justwatch.com/in/movie/interstellar
Uri: The Surgical Strike  (2019),2019,8.2,"Drama, War & Military, Action & Adventure, History",Zee5,2h 18min,UA,India,Movie,https://www.justwatch.com/in/movie/uri-the-surgical-strike
Tiger Nageswara Rao  (2023),2023,6.1,"Action & Adventure, Crime, Drama, Mystery & Thriller, History","Amazon Prime Video, Amazon Video",2h 52min,UA,India,Movie,https://www.justwatch.com/in/movie/tiger-nageswara-rao
